Comment,Designator,Footprint,LCSC
W25Q32JVSS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C179173
ATtiny85-20SU,U3,SOIC-8W_5.3x5.3mm_P1.27mm,C31540447
YS-SBZ9032C03R16_C409828,BUZZER1,BUZ-SMD_FUET-9025-XXV,C409828
Battery,BT1,BatteryHolder_SMD_TAB_2032,C964835
Conn_02x03_Odd_Even,J1,SPI-Header_1x06_P1.27mm,
Conn_01x03_Pin,J2,UPDI PinHeader_1x03_P1.27mm_Vertical,
47uF,C1,C_0805_2012Metric,
100k,R4,R_0805_2012Metric,
BSS138,Q1,SOT-23,
10K,R6,R_0805_2012Metric,
10k,R3,R_0805_2012Metric,
10k,R2,R_0805_2012Metric,
100nF,C3,C_0805_2012Metric,
10k,R1,R_0805_2012Metric,
100nF,C4,C_0805_2012Metric,
100nF,C2,C_0805_2012Metric,
1k,R7,R_0805_2012Metric,
